GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
"1600000US0103076","Auburn city, Alabama","23305","1912","11316","1478","11989","1787"
"1600000US0107000","Birmingham city, Alabama","87831","3181","41083","2940","46748","2768"
"1600000US0121184","Dothan city, Alabama","26031","933","16242","781","9789","739"
"1600000US0135896","Hoover city, Alabama","31770","1447","22525","1365","9245","1300"
"1600000US0137000","Huntsville city, Alabama","84848","2592","46881","2618","37967","2344"
"1600000US0150000","Mobile city, Alabama","79748","2762","39037","2341","40711","2463"
"1600000US0151000","Montgomery city, Alabama","77024","2423","40401","2257","36623","2669"
"1600000US0177256","Tuscaloosa city, Alabama","36759","2281","17295","1773","19464","2308"
"1600000US0203000","Anchorage municipality, Alaska","105285","2132","67637","2522","37648","2650"
"1600000US0404720","Avondale city, Arizona","27840","1624","15353","1482","12487","1731"
"1600000US0407940","Buckeye city, Arizona","21069","1522","16491","1564","4578","951"
"1600000US0410670","Casas Adobes CDP, Arizona","29825","1996","18057","1482","11768","1563"
"1600000US0412000","Chandler city, Arizona","91969","2478","60526","2373","31443","2623"
"1600000US0423620","Flagstaff city, Arizona","24569","1717","11677","1445","12892","1682"
"1600000US0427400","Gilbert town, Arizona","78555","2252","60562","2272","17993","1773"
"1600000US0427820","Glendale city, Arizona","83873","3014","48120","2603","35753","2775"
"1600000US0428380","Goodyear city, Arizona","26405","2005","20764","2014","5641","1305"
"1600000US0446000","Mesa city, Arizona","185509","3765","111314","4369","74195","3705"
"1600000US0454050","Peoria city, Arizona","63218","2358","47849","2370","15369","1764"
"1600000US0455000","Phoenix city, Arizona","574645","7444","307764","6648","266881","6461"
"1600000US0464210","San Tan Valley CDP, Arizona","32608","2569","26086","2807","6522","1499"
"1600000US0465000","Scottsdale city, Arizona","117024","3167","76888","3768","40136","2731"
"1600000US0471510","Surprise city, Arizona","49936","2283","38698","2633","11238","1575"
"1600000US0473000","Tempe city, Arizona","74266","2923","32014","2339","42252","2736"
"1600000US0477000","Tucson city, Arizona","209383","4500","104558","3754","104825","4261"
"1600000US0485540","Yuma city, Arizona","35548","2020","20716","1567","14832","1930"
"1600000US0515190","Conway city, Arkansas","23009","1505","11309","1217","11700","1303"
"1600000US0523290","Fayetteville city, Arkansas","36882","1866","12668","1482","24214","2142"
"1600000US0524550","Fort Smith city, Arkansas","35442","1569","18116","1816","17326","1797"
"1600000US0535710","Jonesboro city, Arkansas","29492","1333","14760","1501","14732","1686"
"1600000US0541000","Little Rock city, Arkansas","81517","2985","45168","2666","36349","2898"
"1600000US0550450","North Little Rock city, Arkansas","28402","1617","13632","1802","14770","1710"
"1600000US0560410","Rogers city, Arkansas","24440","1408","14332","1305","10108","1421"
"1600000US0566080","Springdale city, Arkansas","27283","1693","14280","1569","13003","1687"
"1600000US0600562","Alameda city, California","30724","1435","15195","1481","15529","1459"
"1600000US0600884","Alhambra city, California","30556","1401","10796","1191","19760","1614"
"1600000US0602000","Anaheim city, California","101547","2857","49117","2839","52430","2930"
"1600000US0602252","Antioch city, California","34518","1712","20092","1974","14426","1745"
"1600000US0602364","Apple Valley town, California","24302","1765","16158","1693","8144","1344"
"1600000US0602553","Arden-Arcade CDP, California","44426","2534","18558","1407","25868","2487"
"1600000US0603526","Bakersfield city, California","121615","3390","72020","3687","49595","3502"
"1600000US0603666","Baldwin Park city, California","18224","924","9959","1059","8265","1061"
"1600000US0604982","Bellflower city, California","24333","1414","9768","1213","14565","1631"
"1600000US0606000","Berkeley city, California","43806","2151","17924","1594","25882","1826"
"1600000US0608786","Buena Park city, California","23171","1383","13605","1462","9566","1422"
"1600000US0608954","Burbank city, California","43060","2077","19462","1463","23598","2145"
"1600000US0610046","Camarillo city, California","25137","1259","15493","1580","9644","1263"
"1600000US0611194","Carlsbad city, California","44950","2464","28967","2483","15983","1968"
"1600000US0611390","Carmichael CDP, California","26271","1766","14087","1350","12184","1556"
"1600000US0611530","Carson city, California","23896","1477","16917","1591","6979","1403"
